id;price;property_type;room_type;amenities;accommodates;bathrooms;bed_;type;cancellation_policy;cleaning_fee;city;host_identity_verified;host_response_rate;host_since;neighbourhood;number_of_reviews;review_scores_rating;zipcode;bedrooms;beds
12513361;555.68;Apartment;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",""Sm...";2;1;Real;Bed;flexible;False;NYC;t;89%;18/11/2015;East Harlem;3;87.00;10029;0;1
7196412;366.36;Cabin;Private room;"{""Wireless Internet"",Kitchen,Washer,Dryer,""Smo...";2;3;Real;Bed;moderate;False;LA;f;100%;10/09/2016;Valley Glen;14;91.00;91606;1;1
16333776;482.83;House;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";2;1;Real;Bed;strict;True;SF;t;100%;26/12/2013;Richmond District;117;96.00;94118;1;1
1786412;448.86;Apartment;Private room;"{""Wireless Internet"",""Air conditioning"",Kitche...";2;1;Real;Bed;strict;True;NYC;t;93%;11/05/2010;Williamsburg;8;86.00;11211;1;1
14575777;506.89;Villa;Private room;"{TV,Internet,""Wireless Internet"",""Air conditio...";6;2;Real;Bed;strict;True;LA;t;70%;22/10/2015;None;2;100.00;90703;3;3
20515889;720.79;Villa;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";8;3;Real;Bed;strict;True;LA;f;20%;26/05/2014;Topanga;0;nan;90265;3;4
13783491;516.48;Villa;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;strict;True;LA;t;90%;20/08/2015;Hollywood Hills;1;100.00;90046;1;1
6591755;529.33;Villa;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";16;3;Real;Bed;strict;True;LA;t;91%;16/01/2016;Long Beach;88;90.00;90803;4;6
5203241;679.68;Villa;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";6;2;Real;Bed;strict;True;LA;t;100%;17/08/2017;Rancho Palos Verdes;1;100.00;90275;2;4
11508891;633.51;Villa;Entire home/apt;"{TV,Internet,""Wireless Internet"",Kitchen,""Free...";10;2;Real;Bed;strict;True;LA;t;94%;12/08/2015;Malibu;43;92.00;90265;2;2
